ad_id,title,price,price_str,area,rooms,address,ward,district_id,district_name,category_id,category_name,lat,lon,image,ad_url,posted_at,scraped_at,page_fetched,price_m,price_per_m2,has_coord,is_rent
132195582,"Bán căn hộ Diamond Riverside 2PN, 2WC full nội thất giá bán 2,950 tỷ",2950000000,"2,95 tỷ",73,2,Quận 8,Phường 16,103,Quận 8,1010,Căn hộ/Chung cư,10.72855,106.62393,https://cdn.chotot.com/wEn2ztXjMlsKZYq8g234TPYGJ8QWdSTuXaRRcRGRdlU/preset:view/plain/99947f29e52386063e0e7705efc8d948-2982916253414402895.jpg,https://www.chotot.com/132195582,58341-03-30 12:26:40,2026-05-16 12:01:55.002341,3,2950,40410958.90410959,1,0
128611788,BÁN Q7 RIVERSIDE – 2PN2WC 3.7 TỶ | LÀM VIỆC TRỰC TIẾP CHỦ,3700000000,"3,7 tỷ",68,2,Quận 7,Phường Phú Thuận,102,Quận 7,1010,Căn hộ/Chung cư,10.722,106.7433,https://cdn.chotot.com/NwZ16VRwvXEEXB3B3ZEZ4osSQOhWgV5mY_XvYfal8Pw/preset:view/plain/46d9e3b6c71c2ff94ac7a0b7b6ae63e4-2954920632409367357.jpg,https://www.chotot.com/128611788,58341-03-27 22:30:00,2026-05-16 12:01:55.002341,3,3700,54411764.705882356,1,0
132112819,chung cư sư vạn hạnh quận 5 60m2 2 phòng ngủ (thang máy),3600000000,"3,6 tỷ",60,2,Quận 5,Phường 9,100,Quận 5,1010,Căn hộ/Chung cư,10.759201,106.673485,https://cdn.chotot.com/nqApQcl5EZBNKFJkShCnCGBSo1y9MECzfhrFxXGTHAg/preset:view/plain/302545ac3a1c9ea10cc2282b2f94802d-2982679868692789636.jpg,https://www.chotot.com/132112819,58341-03-27 11:23:20,2026-05-16 12:01:55.002341,3,3600,60000000,1,0
131819129,GIỎ HÀNG BÁN CĂN HỘ URBAN GREEN CÓ SỔ TỪ 4.5 TỶ,4500000000,"4,5 tỷ",80,1,Thành phố Thủ Đức,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),119,Thành phố Thủ Đức,1010,Căn hộ/Chung cư,10.8431,106.71241,https://cdn.chotot.com/jSbw2xjygbXaEZqI8IffgqcUV7x--Ape9UTYDyjWPM8/preset:view/plain/ec5596173031f778ec34a42ff9cfaae9-2979883188268218884.jpg,https://www.chotot.com/131819129,58341-03-25 08:00:00,2026-05-16 12:01:55.002341,3,4500,56250000,1,0
129618808,BÁN CĂN HỘ IMPERIAL - KINH DƯƠNG VƯƠNG,2750000000,"2,75 tỷ",74,2,Quận Bình Tân,Phường An Lạc,108,Quận Bình Tân,1010,Căn hộ/Chung cư,10.73437,106.6129,https://cdn.chotot.com/x7pL1OiO7jm9eqkAqRoJXOVs_HqUWZz8a3C89-TlWSQ/preset:view/plain/06f540440b58241c40291ce1880c2acb-2961925869244275307.jpg,https://www.chotot.com/129618808,58341-03-23 20:10:00,2026-05-16 12:01:55.002341,3,2750,37162162.16216216,1,0
131594098,💎 CĂN HỘ NỘI THẤT 💎 SANG XỊN MỊN: 90m² 104m².🔑 trao tay. GIÁ 5.1 tỷ,5100000000,"5,1 tỷ",104,3,Quận Tân Bình,Phường 15,112,Quận Tân Bình,1010,Căn hộ/Chung cư,10.82523,106.63056,https://cdn.chotot.com/aanYMZ_VRSYxoB_Q4jenq1Yoegy1vw-4OqJTakMYZRQ/preset:view/plain/b041f8bccb53f66483ab695daf329db4-2984344449093736478.jpg,https://www.chotot.com/131594098,58341-03-23 17:06:40,2026-05-16 12:01:55.002341,3,5100,49038461.538461536,1,0
132258701,"Chính chủ - Bán căn hộ CC Phú Thọ Q11 - 64,76m2 - 3ty9",3900000000,"3,9 tỷ",64.76,2,Quận 11,Phường 15,106,Quận 11,1010,Căn hộ/Chung cư,10.77223,106.65285,https://cdn.chotot.com/7AsxIPzsBbOSKRuNt9X4u83leVnJStVxttgoSx4z4A4/preset:view/plain/93bf2d5ead81108d45b061aed82915a3-2983924854392912742.jpg,https://www.chotot.com/132258701,58341-03-23 10:10:00,2026-05-16 12:01:55.002341,3,3900,60222359.48116121,1,0
132417216,Bán căn 2PN 2.650 tỷ full nội thất Vinhomes Grand Park Q9,2650000000,"2,65 tỷ",59,2,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),119,Thành phố Thủ Đức,1010,Căn hộ/Chung cư,10.8454,106.81972,https://cdn.chotot.com/Y-9L1K0CDoIqFbDWrXBX8qNNLT9d-NGrLlSQYVRhwaA/preset:view/plain/92c992fd9e80759a7c7743605bcbbf42-2984505337824505609.jpg,https://www.chotot.com/132417216,58341-03-22 22:46:40,2026-05-16 12:01:55.002341,3,2650,44915254.23728813,1,0
131718872,"Bán rẻ căn 3pn 2wc 106m căn góc 3 ban công. phúc yên 1, chỉ 4 ty 500tr",4500000000,"4,5 tỷ",106,3,Quận Tân Bình,Phường 15,112,Quận Tân Bình,1010,Căn hộ/Chung cư,10.82523,106.63056,https://cdn.chotot.com/uHYS2Kdi5wsGerqzl7JyAoM7qNHjCt3-_9nH8ERIRpQ/preset:view/plain/11a51edf472e2edf1c631715099d5333-2979153266726953510.jpg,https://www.chotot.com/131718872,58341-03-22 21:23:20,2026-05-16 12:01:55.002341,3,4500,42452830.18867925,1,0
132413815,"Cần Bán căn hộ Masteri Thảo Điền( gấp nhanh gọn, còn thương )",12300000000,"12,3 tỷ",86.8,3,Thành phố Thủ Đức,Phường Thảo Điền (Quận 2 cũ),119,Thành phố Thủ Đức,1010,Căn hộ/Chung cư,10.80134,106.73999,https://cdn.chotot.com/HykCzpgAxQfSVGxVxwpaJ9SbOOhJWhsYPs5bPpK_y40/preset:view/plain/70d5baf40b7d2326a5080c7249444caf-2984490599392823883.jpg,https://www.chotot.com/132413815,58341-03-22 18:36:40,2026-05-16 12:01:55.002341,3,12300,141705069.12442398,1,0
